City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
202,Sambava,-14.2667,50.1667,78.75,87,91,5.23,MG,2022-03-25 19:36:34,light rain
203,Jalpan,21.2333,-99.4833,82.53,20,0,6.08,MX,2022-03-25 19:34:11,clear sky
204,Raga,8.4596,25.678,79.09,14,11,5.1,SS,2022-03-25 19:36:36,few clouds
205,Hualmay,-11.0964,-77.6139,74.66,72,95,8.46,PE,2022-03-25 19:36:36,overcast clouds
206,Kahului,20.8947,-156.47,80.62,66,20,23.02,US,2022-03-25 19:33:06,few clouds
207,Katima Mulilo,-17.5,24.2667,69.48,93,100,4.07,NA,2022-03-25 19:36:40,light rain
208,Qandala,11.472,49.8728,76.1,61,0,1.9,SO,2022-03-25 19:34:39,clear sky
209,Hambantota,6.1241,81.1185,78.13,80,0,3.69,LK,2022-03-25 19:36:41,clear sky
210,Talnakh,69.4865,88.3972,15.21,88,100,9.6,RU,2022-03-25 19:36:43,overcast clouds
211,Ciudad Bolivar,8.1222,-63.5497,90.03,44,95,12.03,VE,2022-03-25 19:36:43,overcast clouds
212,Porto Walter,-8.2686,-72.7439,77.14,84,95,4.27,BR,2022-03-25 19:36:44,overcast clouds
213,Port Elizabeth,-33.918,25.5701,61.11,87,0,2.3,ZA,2022-03-25 19:36:45,clear sky
214,Strandby,57.4915,10.4961,47.66,75,5,23.62,DK,2022-03-25 19:36:46,clear sky
215,Sao Filipe,14.8961,-24.4956,70.48,73,11,7.34,CV,2022-03-25 19:36:46,few clouds
216,Deori Khas,23.4,79.0167,81.61,16,16,4.27,IN,2022-03-25 19:36:47,few clouds
217,Dauriya,49.9333,116.8667,19.58,77,92,7.67,RU,2022-03-25 19:36:47,overcast clouds
218,Sibu,2.3,111.8167,71.91,100,40,5.01,MY,2022-03-25 19:36:49,scattered clouds
219,Longyearbyen,78.2186,15.6401,-0.56,78,20,3.44,SJ,2022-03-25 19:36:50,few clouds
220,Norman Wells,65.282,-126.8329,5.04,66,20,25.32,CA,2022-03-25 19:36:50,few clouds
221,Bengkulu,-3.8004,102.2655,76.01,85,36,5.01,ID,2022-03-25 19:36:51,scattered clouds
222,Parainen,60.3067,22.301,44.15,74,100,21.94,FI,2022-03-25 19:36:52,overcast clouds
223,Bilibino,68.0546,166.4372,-4.49,100,100,0.49,RU,2022-03-25 19:36:53,overcast clouds
224,Te Anau,-45.4167,167.7167,49.84,93,39,1.12,NZ,2022-03-25 19:36:54,scattered clouds
225,Yenangyaung,20.4667,94.8833,77.86,74,59,5.84,MM,2022-03-25 19:36:55,broken clouds
226,Los Llanos De Aridane,28.6585,-17.9182,59.13,82,75,5.99,ES,2022-03-25 19:37:55,light intensity drizzle
227,Lavrentiya,65.5833,-171.0,9.16,89,46,5.39,RU,2022-03-25 19:37:56,scattered clouds
228,Geraldton,-28.7667,114.6,75.61,78,40,6.91,AU,2022-03-25 19:37:57,scattered clouds
229,Tres Arroyos,-38.3739,-60.2798,61.7,93,100,18.66,AR,2022-03-25 19:38:00,overcast clouds
230,Rozsypne,48.1497,38.5762,37.58,58,1,3.96,UA,2022-03-25 19:38:00,clear sky
231,Altay,47.8667,88.1167,18.21,58,15,7.85,CN,2022-03-25 19:38:01,few clouds
232,Bambous Virieux,-20.3428,57.7575,79.05,89,40,1.14,MU,2022-03-25 19:38:02,scattered clouds
233,Yuncheng,35.0231,110.9928,47.79,35,100,6.91,CN,2022-03-25 19:38:05,overcast clouds
234,Coffeyville,37.0373,-95.6164,61.02,41,40,12.66,US,2022-03-25 19:38:05,scattered clouds
235,Alta Floresta,-9.8756,-56.0861,82.22,78,75,1.14,BR,2022-03-25 19:33:53,thunderstorm
236,Santa Cruz,-17.8,-63.1667,60.85,67,100,18.41,BO,2022-03-25 19:33:22,moderate rain
237,Avarua,-21.2078,-159.775,80.65,83,20,10.36,CK,2022-03-25 19:38:06,few clouds
238,Itaqui,-29.1253,-56.5531,68.83,63,94,12.39,BR,2022-03-25 19:35:45,overcast clouds
239,Makakilo City,21.3469,-158.0858,72.01,87,75,10.36,US,2022-03-25 19:33:47,light rain
240,Joinville,-26.3044,-48.8456,78.1,88,75,1.14,BR,2022-03-25 19:33:29,light rain
241,Lorengau,-2.0226,147.2712,81.28,76,100,7.63,PG,2022-03-25 19:38:08,overcast clouds
242,Maragogi,-9.0122,-35.2225,79.68,81,50,8.97,BR,2022-03-25 19:38:09,scattered clouds
243,Acarau,-2.8856,-40.12,81.46,78,41,10.07,BR,2022-03-25 19:38:10,scattered clouds
244,Yongchang,30.0381,119.7317,55.11,90,94,4.05,CN,2022-03-25 19:38:11,overcast clouds
245,Oranjestad,12.524,-70.027,82.35,74,75,23.02,AW,2022-03-25 19:38:11,broken clouds
246,Tazovskiy,67.4667,78.7,18.28,95,100,13.65,RU,2022-03-25 19:38:12,light snow
247,Wegrow,52.3995,22.0163,42.91,58,1,7.9,PL,2022-03-25 19:38:12,clear sky
248,Vestmanna,62.1564,-7.1664,38.32,93,100,17.27,FO,2022-03-25 19:35:56,mist
249,Esil,51.9556,66.4042,30.67,87,100,5.44,KZ,2022-03-25 19:38:13,overcast clouds
250,Saint George,37.1041,-113.5841,83.62,15,0,4.61,US,2022-03-25 19:35:51,clear sky
251,Zletovo,41.9886,22.2361,45.61,58,0,9.51,MK,2022-03-25 19:38:14,clear sky
252,Axim,4.8699,-2.2405,82.11,83,99,8.39,GH,2022-03-25 19:38:14,overcast clouds
253,Mahabad,36.7631,45.7222,36.86,70,99,10.11,IR,2022-03-25 19:38:15,overcast clouds
254,Aksay,47.26,39.87,39.42,65,81,4.0,RU,2022-03-25 19:38:15,broken clouds
255,Dargaville,-35.9333,173.8833,66.61,69,87,11.79,NZ,2022-03-25 19:38:16,overcast clouds
256,Sheridan,44.8333,-106.9173,52.18,28,0,12.66,US,2022-03-25 19:38:16,clear sky
257,Faya,18.3851,42.4509,64.51,51,0,2.24,SA,2022-03-25 19:38:17,clear sky
258,Port Hardy,50.6996,-127.4199,46.58,76,100,12.66,CA,2022-03-25 19:38:18,light intensity shower rain
